epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,465.77,3.00028,1.81182,1.58077,0.20215,0.3215,0.16683,0.05033,3.04728,1.65018,1.63964,0.005644,0.005644,0.005644
46,474.916,2.98372,1.80209,1.56281,0.20981,0.34486,0.17844,0.05473,2.99767,1.65379,1.60501,0.005545,0.005545,0.005545
47,489.068,2.97378,1.81601,1.54928,0.20343,0.33084,0.16499,0.04994,3.03117,1.66355,1.61578,0.005446,0.005446,0.005446
48,499.065,2.99112,1.77864,1.52102,0.21275,0.31682,0.17077,0.05199,3.04272,1.64234,1.6266,0.005347,0.005347,0.005347
49,512.518,2.95048,1.77213,1.52594,0.21964,0.34486,0.1919,0.0588,2.98573,1.63342,1.60676,0.005248,0.005248,0.005248
50,521.732,2.9163,1.7836,1.55771,0.22891,0.34393,0.18958,0.06019,2.97786,1.64729,1.59637,0.005149,0.005149,0.005149
51,530.922,2.91719,1.77518,1.50368,0.21587,0.33738,0.18283,0.05674,2.95802,1.7214,1.57452,0.00505,0.00505,0.00505
52,539.9,2.92113,1.76191,1.54099,0.21865,0.33925,0.18575,0.05646,3.00363,1.64995,1.60776,0.004951,0.004951,0.004951
53,549.246,2.95596,1.72814,1.50858,0.22131,0.34053,0.18898,0.06358,2.91659,1.62053,1.5609,0.004852,0.004852,0.004852
54,558.519,2.90633,1.75148,1.534,0.23228,0.3785,0.20266,0.06416,2.91655,1.63503,1.55769,0.004753,0.004753,0.004753
55,567.61,2.88506,1.75731,1.51516,0.21928,0.34579,0.17971,0.05662,2.88708,1.71455,1.56808,0.004654,0.004654,0.004654
56,576.896,2.90724,1.72755,1.46244,0.22471,0.36542,0.20282,0.06235,2.92016,1.60325,1.55922,0.004555,0.004555,0.004555
57,586.37,2.90516,1.71143,1.46458,0.22727,0.35888,0.19169,0.05987,2.95994,1.6066,1.56595,0.004456,0.004456,0.004456
58,595.548,2.84831,1.75343,1.48121,0.22853,0.37196,0.19879,0.06385,2.90983,1.57394,1.55214,0.004357,0.004357,0.004357
59,604.904,2.882,1.76398,1.51691,0.22355,0.34766,0.19729,0.0639,2.87625,1.5779,1.50654,0.004258,0.004258,0.004258
60,614.49,2.89537,1.71779,1.49093,0.23079,0.35607,0.19909,0.06659,2.8884,1.57887,1.5395,0.004159,0.004159,0.004159
61,626.563,2.86049,1.7343,1.47956,0.22826,0.36075,0.1969,0.068,2.83422,1.61566,1.52564,0.00406,0.00406,0.00406
62,635.488,2.82887,1.73245,1.48465,0.23988,0.36075,0.20417,0.07037,2.84824,1.5581,1.52668,0.003961,0.003961,0.003961
63,645.108,2.84882,1.72351,1.532,0.24329,0.39907,0.21462,0.06768,2.92655,1.59238,1.57554,0.003862,0.003862,0.003862
64,654.145,2.85046,1.69054,1.48787,0.23782,0.38972,0.21103,0.06984,2.85606,1.55901,1.52232,0.003763,0.003763,0.003763
65,663.334,2.83031,1.68664,1.49474,0.24105,0.33271,0.19063,0.05879,3.00216,1.57212,1.60651,0.003664,0.003664,0.003664
