epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,4496.27,3.60125,2.45933,2.04355,0.03061,0.09439,0.02307,0.00576,3.7058,4.1188,2.55048,0.005743,0.005743,0.005743
45,4602.47,3.6082,2.35791,2.04946,0.03788,0.11682,0.02616,0.00606,3.62963,3.6601,2.64155,0.005644,0.005644,0.005644
46,4695.41,3.56129,2.36219,2.04541,0.03636,0.11215,0.02421,0.00633,3.69612,4.75985,2.55808,0.005545,0.005545,0.005545
47,4788.71,3.5458,2.38139,2.07385,0.03818,0.11776,0.0242,0.00563,3.88962,5.59854,2.74905,0.005446,0.005446,0.005446
48,4882,3.55521,2.34891,2.02334,0.03697,0.11402,0.02763,0.00584,3.5794,3.77604,2.54318,0.005347,0.005347,0.005347
49,4975.01,3.49841,2.32233,1.99804,0.02152,0.06636,0.01206,0.00325,3.28136,3.30037,2.84308,0.005248,0.005248,0.005248
50,5068.08,3.57316,2.34727,2.05779,0.03848,0.11869,0.02263,0.00531,3.81467,5.35881,2.51543,0.005149,0.005149,0.005149
51,5161.22,3.50429,2.45305,2.04439,0.03182,0.09813,0.0199,0.00489,3.60504,nan,2.54996,0.00505,0.00505,0.00505
52,5254.19,3.49713,2.29306,2.05244,0.03485,0.10748,0.02079,0.00498,3.67505,6.36885,2.45217,0.004951,0.004951,0.004951
53,5385.68,3.45495,2.30977,2.04524,0.02333,0.07196,0.01497,0.0042,3.28962,3.85117,2.93356,0.004852,0.004852,0.004852
54,5479.12,3.42121,2.3497,2.04024,0.03152,0.0972,0.01786,0.00494,3.53344,3.79378,2.7353,0.004753,0.004753,0.004753
55,5572.27,3.45627,2.24511,2.03698,0.04788,0.14766,0.04059,0.00958,3.51296,3.82549,2.59069,0.004654,0.004654,0.004654
56,5666.42,3.51626,2.21277,2.00545,0.03909,0.12056,0.02525,0.00704,3.78321,5.27358,2.64462,0.004555,0.004555,0.004555
57,5759.41,3.52254,2.29234,1.99429,0.03848,0.11869,0.02604,0.00612,3.73181,5.76534,2.38837,0.004456,0.004456,0.004456
58,5853.01,3.52534,2.22917,2.01645,0.04061,0.12523,0.02886,0.00666,3.83376,5.11186,2.97921,0.004357,0.004357,0.004357
59,5946.29,3.52339,2.24758,1.97495,0.04333,0.13364,0.03305,0.00729,3.86698,7.94137,2.48171,0.004258,0.004258,0.004258
60,6065.31,3.49122,2.2641,2.01597,0.0397,0.12243,0.0277,0.00705,3.64709,4.48572,2.60491,0.004159,0.004159,0.004159
61,6184.25,3.54676,2.18184,1.93555,0.04212,0.12991,0.02713,0.00692,3.54328,5.14962,2.63052,0.00406,0.00406,0.00406
62,6335.34,3.52812,2.18119,1.96092,0.0467,0.14206,0.03423,0.00805,3.69184,6.83794,2.44603,0.003961,0.003961,0.003961
63,6428.21,3.50616,2.18835,1.94561,0.04485,0.13832,0.03361,0.00798,3.82108,3.71264,2.71432,0.003862,0.003862,0.003862
64,6524.94,3.51714,2.1591,1.95058,0.04303,0.13271,0.02995,0.00776,3.62362,3.76176,2.70372,0.003763,0.003763,0.003763
65,6618.09,3.43655,2.15542,2.00154,0.05383,0.1271,0.04017,0.0088,3.64851,5.23505,2.71756,0.003664,0.003664,0.003664
66,6711.4,3.43814,2.15181,1.93251,0.04939,0.15234,0.03229,0.00755,3.55544,6.54151,2.40737,0.003565,0.003565,0.003565
67,6804.57,3.4841,2.13968,1.95763,0.04848,0.14953,0.03272,0.00754,3.467,4.56549,2.66693,0.003466,0.003466,0.003466
68,6897.44,3.37403,2.14793,1.99018,0.05121,0.15794,0.03808,0.00916,3.58355,4.23313,2.79593,0.003367,0.003367,0.003367
69,6990.78,3.39983,2.1093,1.98048,0.04364,0.13458,0.02713,0.00679,3.75694,5.53829,2.80731,0.003268,0.003268,0.003268
70,7083.84,3.3769,2.09325,1.91089,0.04818,0.1486,0.03315,0.00758,3.71346,6.86617,2.44628,0.003169,0.003169,0.003169
71,7177.11,3.40997,2.06823,1.90485,0.05242,0.16168,0.03297,0.00775,3.62416,4.36234,2.59423,0.00307,0.00307,0.00307
72,7270.22,3.36452,2.09939,1.93337,0.04879,0.15047,0.02892,0.00778,3.48876,4.38496,2.65256,0.002971,0.002971,0.002971
73,7363.48,3.32406,2.04289,1.94019,0.04879,0.15047,0.02905,0.00703,3.5521,4.81656,2.61878,0.002872,0.002872,0.002872
74,7456.95,3.37589,2.11268,1.92439,0.04242,0.13084,0.02498,0.00636,3.54608,4.1885,2.60132,0.002773,0.002773,0.002773
75,7550.14,3.37644,2.09346,1.85818,0.05667,0.17477,0.0481,0.0111,3.56884,4.63622,2.58838,0.002674,0.002674,0.002674
76,7644.03,3.39358,2.07459,1.8958,0.04182,0.12897,0.02846,0.0073,3.78116,4.89244,2.94168,0.002575,0.002575,0.002575
77,7737.27,3.27425,2.04647,1.91246,0.05758,0.17757,0.04756,0.01009,3.69652,5.4755,2.81803,0.002476,0.002476,0.002476
78,7830.21,3.32877,2.09177,1.89446,0.05606,0.1729,0.04551,0.0108,3.52876,4.3677,2.54524,0.002377,0.002377,0.002377
79,7923.43,3.32684,1.98837,1.88659,0.05515,0.17009,0.04266,0.01038,3.42947,3.5313,2.48531,0.002278,0.002278,0.002278
80,8016.69,3.26404,2.05858,1.8987,0.05,0.15421,0.03407,0.00868,3.29718,4.36066,2.63979,0.002179,0.002179,0.002179
81,8110.15,3.28783,1.98881,1.85878,0.04273,0.13178,0.0298,0.00818,3.57829,4.02223,3.04336,0.00208,0.00208,0.00208
82,8203.47,3.36235,2.00455,1.87707,0.03879,0.11963,0.0303,0.00787,3.61381,3.69324,3.24156,0.001981,0.001981,0.001981
83,8296.73,3.31327,2.01597,1.82478,0.0597,0.18411,0.04051,0.01,3.4941,4.25923,2.82788,0.001882,0.001882,0.001882
84,8415.88,3.29113,1.99482,1.86708,0.0597,0.18411,0.04494,0.01048,3.46039,3.6261,2.62766,0.001783,0.001783,0.001783
85,8535.15,3.26516,1.93357,1.81577,0.0497,0.15327,0.03796,0.00915,3.52599,3.36104,2.67632,0.001684,0.001684,0.001684
86,8633.72,3.24159,1.97127,1.82536,0.04333,0.13364,0.02818,0.00777,3.63457,4.79041,2.74443,0.001585,0.001585,0.001585
87,8727.01,3.27337,1.9639,1.84595,0.04152,0.12804,0.02659,0.00635,3.53828,4.39788,2.89446,0.001486,0.001486,0.001486
88,8820.57,3.23941,2.0096,1.80729,0.04,0.12336,0.02712,0.00691,3.62917,3.59553,3.18137,0.001387,0.001387,0.001387
89,8913.77,3.26056,1.90257,1.81819,0.04848,0.14953,0.03435,0.00893,3.51531,3.32514,2.68323,0.001288,0.001288,0.001288
90,9006.95,3.15813,1.95579,1.86336,0.04576,0.14112,0.03211,0.00808,3.44862,4.17889,2.85621,0.001189,0.001189,0.001189
91,9148.15,3.33635,2.15661,1.7114,0.03273,0.10093,0.02015,0.00528,3.62472,4.69978,3.3809,0.00109,0.00109,0.00109
92,9240.73,3.2405,2.0131,1.67498,0.02818,0.08692,0.02065,0.00551,3.34313,3.80577,3.11137,0.000991,0.000991,0.000991
93,9333.66,3.21531,1.92144,1.66091,0.05121,0.15794,0.03879,0.01017,3.48355,4.01336,3.09591,0.000892,0.000892,0.000892
94,9426.59,3.14109,1.92289,1.65695,0.04606,0.14206,0.02923,0.00768,3.53317,3.9384,2.91071,0.000793,0.000793,0.000793
95,9519.41,3.16411,1.87961,1.63732,0.04182,0.12897,0.03304,0.00848,3.61869,3.18756,2.95521,0.000694,0.000694,0.000694
96,9612.33,3.13815,1.88074,1.63401,0.04485,0.13832,0.03835,0.01017,3.42188,2.9653,2.91016,0.000595,0.000595,0.000595
97,9705.15,3.14156,1.81154,1.62695,0.04515,0.13925,0.03863,0.00908,3.49003,3.02572,2.88012,0.000496,0.000496,0.000496
98,9797.93,3.12233,1.84626,1.63126,0.04576,0.14112,0.03574,0.00962,3.47528,3.03097,2.84083,0.000397,0.000397,0.000397
99,9890.83,3.12346,1.82353,1.59336,0.04576,0.14112,0.03917,0.01001,3.40044,3.10764,2.76355,0.000298,0.000298,0.000298
100,9983.52,3.08854,1.83766,1.62799,0.04848,0.14953,0.03885,0.00952,3.5959,2.90155,3.05064,0.000199,0.000199,0.000199
